text,label
"Jeden Morgen trinke ich eine Tasse Kaffee, bevor ich zur Arbeit gehe.",0
"Am Wochenende gehe ich oft joggen, um fit zu bleiben.",0
"Abends lese ich gerne ein Buch, um mich zu entspannen.",0
"Ich putze mir immer die Zähne, bevor ich ins Bett gehe.",0
Nach dem Mittagessen mache ich meistens einen kurzen Spaziergang.,0
Gestern habe ich zum ersten Mal einen Heißluftballonflug gemacht.,1
Letzte Woche habe ich ein seltenes Kunstwerk in der Galerie entdeckt.,1
Am Wochenende habe ich spontan an einem Straßenfest teilgenommen.,1
Vor zwei Tagen habe ich eine ungewöhnliche Vogelart im Park gesehen.,1
Letzten Sommer bin ich auf einer Kreuzfahrt durch die Karibik gefahren.,1
