text,label
Ich trinke jeden Morgen eine Tasse Kaffee.,0
"Ich trinke jeden Morgen eine Tasse Kaffee, bevor ich zur Arbeit gehe.",0
Ich gehe jeden Morgen um 7 Uhr joggen.,0
"Ich trinke jeden Morgen eine Tasse Kaffee, bevor ich zur Arbeit gehe.",0
Ich trinke jeden Morgen eine Tasse Kaffee.,0
Ich habe gestern zum ersten Mal in meinem Leben Fallschirmspringen ausprobiert.,1
Ich habe gestern zum ersten Mal in meinem Leben Fallschirmspringen ausprobiert.,1
Ich habe gestern zum ersten Mal in meinem Leben Fallschirmspringen ausprobiert.,1
Gestern habe ich zum ersten Mal in meinem Leben einen Heißluftballonflug gemacht.,1
Ich habe gestern zum ersten Mal in meinem Leben Fallschirmspringen ausprobiert.,1
