text,label
"Direkt nach dem Aufstehen dehne ich mich für zehn Minuten.",0
"Bevor ich ins Bett gehe, schreibe ich drei Dinge auf, für die ich dankbar bin.",0
"Sobald ich im Büro ankomme, kontrolliere ich als Erstes meinen Kalender.",0
"Am Abend lese ich mindestens 15 Minuten in einem Fachbuch.",0
"Nach dem Mittagessen mache ich einen kurzen Spaziergang um den Block.",0
"Vor dem Schlafengehen wird das Schlafzimmer gründlich gelüftet.",0
"Wenn mich Stress überkommt, mache ich eine gezielte Atemübung.",0
"Samstagmorgens widme ich mich der gründlichen Küchenreinigung.",0
"Nach dem Zähneputzen trage ich stets meine Gesichtscreme auf.",0
"Meinen Schreibtisch räume ich gleich nach der Arbeit auf.",0
"Vor dem Einschlafen schalte ich mein Handy in den Flugmodus.",0
"Nach dem Training folgt immer eine fünfminütige Dehnphase.",0
"Wenn ich Müdigkeit spüre, setze ich mich zu einer kurzen Meditation hin.",0
"Sonntagabends plane ich den Ablauf der kommenden Woche.",0
"Meine Zimmerpflanzen gieße ich regelmäßig nach dem Abendessen.",0
"Nach dem Duschen benutze ich Bodylotion für die Hautpflege.",0
"Bevor ich das Haus verlasse, prüfe ich alle Fenster und Türen.",0
"Zuhause angekommen, wasche ich mir sofort gründlich die Hände.",0
"Jeden Morgen notiere ich die drei wichtigsten Aufgaben des Tages.",0
"Bei Nervosität atme ich bewusst tief ein und aus.",0
"Montags kümmere ich mich um das Sortieren meiner E-Mails.",0
"Zu Beginn des Morgens lese ich laut einen Absatz aus einem Buch vor.",0
"Den Kühlschrank ordne ich direkt nach dem Wocheneinkauf neu.",0
"Sobald der Wecker klingelt, stehe ich ohne Zögern auf.",0
"Freitagabends überprüfe ich meine Ausgaben der Woche.",0
"Neue Ideen halte ich sofort in meinem Notizbuch fest.",0
"Nach einem Abendspaziergang trinke ich ein Glas Wasser.",0
"Vor dem Zubettgehen lese ich ein Kapitel in einem Roman.",0
"Mittwochs telefoniere ich immer mit meiner Großmutter.",0
"Nach dem Kochen reinige ich sofort die Arbeitsflächen.",0
"Am Morgen beginne ich mit drei Sonnengrüßen als Yogaübung.",0
"Vor dem Mittagessen trage ich meine Mahlzeit ins Ernährungstagebuch ein.",0
"Nach dem Abendbrot gehe ich mit dem Hund spazieren.",0
"Gestern war ich mit Freunden im Kino.",1
"Heute Morgen habe ich ein neues Café besucht.",1
"Am Wochenende habe ich zum ersten Mal Sushi probiert.",1
"Letzte Woche war ich auf einem Konzert.",1
"Heute habe ich einen Pullover im Sonderangebot gekauft.",1
"Gestern habe ich spontan einen Roadtrip unternommen.",1
"Am Dienstag habe ich zufällig eine alte Freundin getroffen.",1
"Letzte Woche war ich erstmals in einem Escape Room.",1
"Heute habe ich ein neues Computerspiel heruntergeladen.",1
"Gestern habe ich eine Dokumentation über den Amazonas gesehen.",1
"Am Montag habe ich einen Kuchen gebacken.",1
"Morgen will ich ins Schwimmbad gehen.",1
"Letzte Woche habe ich meine Wohnung neu gestrichen.",1
"Vorgestern habe ich eine Bewerbung abgeschickt.",1
"Letzte Woche habe ich den Sonnenuntergang am Meer fotografiert.",1
"Heute habe ich meine Steuererklärung eingereicht.",1
"Gestern bin ich mit dem Fahrrad in einen anderen Stadtteil gefahren.",1
"Letzte Woche habe ich einen neuen Rucksack gekauft.",1
"Nächsten Monat plane ich eine Sprachreise.",1
"Gestern habe ich einen langen Spaziergang im Wald gemacht.",1
"Heute habe ich zum ersten Mal Origami gefaltet.",1
"Letzten Freitag habe ich ein neues Kochrezept getestet.",1
"Am Wochenende möchte ich einen Flohmarkt besuchen.",1
"Gestern habe ich eine Serie auf Englisch geschaut.",1
"Am Sonntag habe ich einen Kuchen gebacken.",1
"Heute habe ich einen Freund zum Mittagessen getroffen.",1
"Am Samstag will ich in den Zoo gehen.",1
"Letzte Woche habe ich ein neues Musikinstrument ausprobiert.",1
"Gestern habe ich eine neue App installiert.",1
"Bald möchte ich einen Tanzkurs belegen.",1
"Am Montag habe ich an einer Museumsführung teilgenommen.",1
"Heute habe ich einen Vortrag an der Universität gehört.",1
"Gestern habe ich zum ersten Mal ein Theaterstück gesehen.",1

